,question,answer,solution,check
0,"다각형 P의 정점이 (– 2, – 4), (– 4, 1), (–1, 4), (2, 4), (3, 0)인 오각형이 선 y = x를 기준으로 반사되어 새로운 오각형 P'를 얻습니다. P'의 정점 중 하나는 무엇입니까?

1. (0, – 3)
2. (4, 1)
3. (2, 2)
4. (– 4, –2)
",4,"주어진 오각형 P의 정점 (–2, –4), (–4, 1), (–1, 4), (2, 4), (3, 0)을 y = x에 대해 반사하여 새로운 오각형 P'의 정점을 구하겠습니다. y = x에 대한 반사는 다음 규칙을 따릅니다:

(가로좌표, 세로좌표) → (세로좌표, 가로좌표)

각 정점에 대해 이 규칙을 적용하겠습니다:

1. P의 정점 (–2, –4):
   반사 후 P'의 정점은 (–4, –2)입니다.

2. P의 정점 (–4, 1):
   반사 후 P'의 정점은 (1, –4)입니다.

3. P의 정점 (–1, 4):
   반사 후 P'의 정점은 (4, –1)입니다.

4. P의 정점 (2, 4):
   반사 후 P'의 정점은 (4, 2)입니다.

5. P의 정점 (3, 0):
   반사 후 P'의 정점은 (0, 3)입니다.

이제 P'의 정점 목록은 다음과 같습니다:
1. (–4, –2)
2. (1, –4)
3. (4, –1)
4. (4, 2)
5. (0, 3)

주어진 보기 중에서 P'의 정점 중 하나를 찾습니다:

1. (0, –3) - 아니다.
2. (4, 1) - 아니다.
3. (2, 2) - 아니다.
4. (–4, –2) - 맞다!

따라서 P'의 정점 중 하나는 (–4, –2)로, 정답은:

\(\boxed{–4, -2}\)",X
1,"사각형의 길이는 너비의 두 배입니다. 대각선의 길이가 $5\sqrt{5}$일 때, 사각형의 넓이를 구하십시오.

1. 2500
2. 2
3. 50
4. 25
",3,"사각형의 가로와 세로의 관계를 고려해 보겠습니다. 사각형의 길이를 \( L \)이라 하고, 너비를 \( W \)라 할 때, 다음과 같은 관계가 있습니다:

\[
L = 2W
\]

그러면 사각형의 면적 \( A \)는 다음과 같습니다:

\[
A = L \times W = 2W \times W = 2W^2
\]

대각선의 길이가 주어졌으므로, 피타고라스 정리를 사용하여 대각선과 관련된 식을 세워보겠습니다. 대각선의 길이는 \( d \)라 하고, 

\[
d = \sqrt{L^2 + W^2}
\]

대각선의 길이가 \( 5\sqrt{5} \)임을 알고 있으므로, 다음과 같은 식이 성립합니다:

\[
\sqrt{(2W)^2 + W^2} = 5\sqrt{5}
\]

이 식을 풀어보면:

\[
\sqrt{4W^2 + W^2} = 5\sqrt{5}
\]

\[
\sqrt{5W^2} = 5\sqrt{5}
\]

양변을 제곱하면:

\[
5W^2 = 125
\]

양변을 5로 나누면:

\[
W^2 = 25
\]

따라서, \( W \)의 값을 구하면:

\[
W = 5
\]

이제 너비 \( W \)를 구했으므로 길이 \( L \)을 구할 수 있습니다:

\[
L = 2W = 2 \times 5 = 10
\]

사각형의 면적 \( A \)는 다음과 같이 계산됩니다:

\[
A = L \times W = 10 \times 5 = 50
\]

최종적으로, 사각형의 넓이는:

\[
\boxed{50}
\]",O
2,"소인수분해 표현에서 n의 모든 소인수 p에 대해 p^2이 n의 약수이면 양의 정수 n을 ""거듭제곱""이라고 합니다. 거듭제곱 수의 예시에는 무엇이 있습니까?

1. 392
2. 336
3. 300
4. 297
",1,"거듭제곱 수를 판단하기 위해서는 주어진 수의 소인수분해를 수행한 후, 모든 소인수의 지수가 2 이상인지 확인해야 합니다. 지수가 2 이상이라는 것은 해당 소인수의 제곱이 그 수의 약수라는 것을 의미합니다.

각 숫자에 대해 소인수분해를 해보겠습니다.

1. **392**의 소인수분해:
   \[
   392 = 2^3 \times 7^1
   \]
   - 여기서 `2`는 지수가 3으로 2 이상이고 `7`은 지수가 1로 2 미만입니다. 따라서 392는 거듭제곱이 아닙니다.

2. **336**의 소인수분해:
   \[
   336 = 2^4 \times 3^1 \times 7^1
   \]
   - `2`는 지수가 4로 2 이상이고, `3`과 `7`은 각각 1로 2 미만입니다. 따라서 336은 거듭제곱이 아닙니다.

3. **300**의 소인수분해:
   \[
   300 = 2^2 \times 3^1 \times 5^2
   \]
   - `2`와 `5`의 지수는 각각 2와 2로 2 이상이고, `3`의 지수는 1로 2 미만입니다. 따라서 300은 거듭제곱이 아닙니다.

4. **297**의 소인수분해:
   \[
   297 = 3^3 \times 11^1
   \]
   - `3`은 지수가 3으로 2 이상이고, `11`은 지수가 1로 2 미만입니다. 따라서 297은 거듭제곱이 아닙니다.

결과적으로 주어진 네 숫자 중에는 ""거듭제곱""인 수가 없습니다. 

최종 답변은 $\boxed{0}$ 입니다.",X
3,"아침, 점심 및 저녁에 Joe는 사과, 오렌지 또는 바나나 중 임의로 한 개를 먹습니다. 어떤 날에 Joe가 적어도 두 가지 다른 종류의 과일을 먹을 확률은 얼마입니까?

1. \frac{7}{9}
2. \frac{8}{9}
3. \frac{5}{9}
4. \frac{9}{11}
",2,"먼저 Joe가 하루 동안 세 번의 과일을 선택하는 경우의 수를 계산해 보겠습니다. Joe는 아침, 점심, 저녁에 각각 사과, 오렌지, 바나나 중 하나를 선택할 수 있습니다. 따라서 각 식사에서 선택하는 과일의 수는 3개입니다. 그러므로 하루동안 선택할 수 있는 조합의 수는 다음과 같습니다:

\[
3 \times 3 \times 3 = 27
\]

다음으로, Joe가 선택한 과일이 모두 같은 종류일 경우를 고려해 보겠습니다. 세 끼 다 동일한 과일을 먹는 경우는 사과, 오렌지, 바나나 각각에 대해 1가지씩 존재하므로 총 3가지 경우가 있습니다.

이제 Joe가 적어도 두 가지 다른 종류의 과일을 먹은 경우의 수를 구하기 위해, 하루 동안 모든 선택의 경우의 수에서 동일한 과일만 선택한 경우의 수를 빼겠습니다:

\[
27 - 3 = 24
\]

마지막으로, 적어도 두 가지 다른 종류의 과일을 먹을 확률을 구합니다. 확률은 적어도 두 가지 과일을 먹은 경우의 수를 총 경우의 수로 나누어 계산할 수 있습니다:

\[
\text{확률} = \frac{24}{27} = \frac{8}{9}
\]

따라서 Joe가 하루에 적어도 두 가지 다른 종류의 과일을 먹을 확률은 \(\frac{8}{9}\)입니다. 

최종 답은:

\[
\boxed{\frac{8}{9}}
\]",O
4,"함수 $f(x)$가 이 속성을 갖는다고 가정합니다. 실수 $a$와 $b$에 대해 $a<b$이고, $x=a$와 $x=b$ 사이의 $y=f(x)$의 그래프 부분이 $(a,f(a))$와 $(b,f(b))$를 끝점으로 하는 선분 아래에 있습니다. (이러한 속성을 갖는 함수를 볼록 함수라고 합니다.) $f(x)$가 $(-2,5)$와 $(2,9)$를 지난다고 할 때, $f(1)$의 가능한 값의 범위는 무엇입니까? 답을 구간 표기법으로 표현하십시오.

1. (-inf, 10)
2. (-inf, 9)
3. (-inf, 8)
4. (-inf, 7)
",3,"함수 \( f(x) \)가 볼록 함수라는 속성을 갖고 있으므로, 이 함수는 두 점 사이의 직선 위로 올라가지 않거나, 두 점을 잇는 직선의 아래에 위치하게 됩니다.

주어진 점은 \( (-2, 5) \)와 \( (2, 9) \)입니다. 이제 볼록 함수의 성질에 따라 \( f(-2) = 5 \)와 \( f(2) = 9 \) 사이의 중간 점 \( (1, f(1)) \)에 대해 생각해 보겠습니다.

먼저, 이 두 점을 연결하는 직선을 찾아볼까요?

이 두 점을 연결하는 직선의 기울기를 계산합니다:

\[
m = \frac{f(2) - f(-2)}{2 - (-2)} = \frac{9 - 5}{2 + 2} = \frac{4}{4} = 1
\]

따라서, 직선의 방정식은 다음과 같습니다:

\[
y - f(-2) = m(x + 2) \quad \Rightarrow \quad y - 5 = 1(x + 2) \quad \Rightarrow \quad y = x + 7
\]

이 직선을 이용하여 \( x = 1 \)일 때의 \( y \) 값을 계산해봅시다:

\[
y = 1 + 7 = 8
\]

그러므로 볼록 함수 \( f(x) \)는 \( x = -2 \)와 \( x = 2 \) 사이에서 직선을 기준으로 아래쪽에 있으므로, 

\[
f(1) \leq 8
\]

또한 볼록 함수의 정의에 따르면 \( f(-2) = 5 \)보다 \( f(1) \)은 최소 \( f(-2) \)보다 커야 하므로:

\[
f(1) \geq 5
\]

따라서 \( f(1) \)의 가능한 값은 다음과 같은 범위를 가집니다:

\[
5 \leq f(1) \leq 8
\]

이 범위를 구간 표기법으로 표현하면:

\[
[5, 8]
\]

그러므로 질문에서 주어진 답안 중, \( f(1) \)의 가능한 값의 범위는 다음처럼 나타낼 수 있습니다:

\(\boxed{(-\infty, 8)}\)

따라서 정답은 3번인  \(\boxed{(-\infty, 8)}\) 입니다.",X
5,"John은 기념 모자 핀을 두 더미로 나누었습니다. 두 더미에는 같은 수의 핀이 들어 있었습니다. John은 형제에게 한 더미에서 1/3의 1/2를 주었습니다. John에게 남아 있는 핀은 66개였습니다. John이 처음에 가지고 있었던 핀은 몇 개입니까?

1. 396
2. 72
3. 66
4. 36
",2,"John은 기념 모자 핀을 두 더미로 나누었고, 각 더미에는 같은 수의 핀, 즉 \( x \) 개가 있었습니다. 그러므로 John이 처음에 가지고 있던 핀의 총량은 \( 2x \) 입니다.

John은 한 더미에서 \( \frac{1}{3} \)의 \( \frac{1}{2} \)를 주었으므로 다음과 같이 계산할 수 있습니다:

\[
\text{주어진 핀의 수} = x \times \frac{1}{2} \times \frac{1}{3} = \frac{x}{6}
\]

그러면 주고 난 후 John이 가진 핀의 수는 처음에 가진 핀의 수에서 주어진 핀의 수를 뺀 값이 됩니다. 따라서 남아 있는 핀의 수는:

\[
2x - \frac{x}{6}
\]

이것을 계산해보면 다음과 같습니다:

1. \( 2x \)를 분모가 6인 분수로 바꿔줍니다.

\[
2x = \frac{12x}{6}
\]

2. 이제 두 개의 분수를 뺍니다.

\[
\frac{12x}{6} - \frac{x}{6} = \frac{12x - x}{6} = \frac{11x}{6}
\]

John이 남긴 핀은 66개로 주어졌으므로 다음과 같은 방정식을 세울 수 있습니다:

\[
\frac{11x}{6} = 66
\]

이제 양변에 6을 곱하여 \( x \)의 값을 구합니다:

\[
11x = 66 \times 6
\]

\[
11x = 396
\]

\[
x = \frac{396}{11} = 36
\]

따라서 John이 처음에 가지고 있었던 핀의 총 수는:

\[
2x = 2 \times 36 = 72
\]

결과적으로, John이 처음에 가지고 있던 핀의 수는 \( \boxed{72} \)입니다.",O
6,"기상학자가 비가 올 확률과 태양이 없을 확률이 각각 30%라고 합니다. 만약 비가 오지 않을 확률이 40%라면, 비가 오면서 태양이 나타날 확률은 얼마입니까?

1. 0.16
2. 0.24
3. 0.3
4. 0.5
",3,"각 확률을 기호로 나타내어 계산해 봅시다.

- \( P(V) \): 비가 올 확률 = 0.3
- \( P(N) \): 태양이 없을 확률 = 0.3
- \( P(V') \): 비가 오지 않을 확률 = 0.4

비가 오지 않을 확률이 40%라는 것은 비가 올 확률을 제외한 나머지가 60%라는 것을 의미합니다. 그래서 비가 오지 않을 확률 \( P(V') \)와 비가 올 확률 \( P(V) \)의 관계는 다음과 같습니다:
\[ P(V') = 1 - P(V) = 1 - 0.3 = 0.7 \]

비가 오지 않을 확률이 0.4로 주어졌으므로, 다음과 같은 식을 세울 수 있습니다:
\[ P(V') = 0.4 \]

따라서 비가 올 확률을 다시 확인하면,
- 반대로 비가 올 확률 \( P(V) = 1 - P(V') = 1 - 0.4 = 0.6 \)

비가 오면서 태양이 나타날 확률을 구하고자 하므로, 비가 오는 경우의 확률과 태양이 있는 경우의 확률을 곱해주면 됩니다:
\[ P(V \cap N') = P(V) \cdot P(N') \]

태양이 있는 확률 \( P(N') \)는 태양이 없는 확률의 보수입니다. 즉,
\[ P(N') = 1 - P(N) = 1 - 0.3 = 0.7 \]

따라서, 비가 오면서 태양이 나타날 확률은 다음과 같습니다:
\[ P(V \cap N') = P(V) \cdot P(N') = 0.3 \cdot 0.7 = 0.21 \]

제시된 선택지 중에는 0.21이 없지만, 수학적 계산에 따라 비가 오면서 태양이 나타날 확률을 정확하게 구했습니다. 그러므로, 올바른 답을 제시하면:

최종 답은 \( \boxed{0.21} \)입니다.",X
7,"$1200$의 제곱수가 되는 모든 양의 정수 $n 값$들의 합은 얼마입니까?

1. 42
2. 12
3. 36
4. 39
",1,"주어진 문제는 \( 1200 \)의 제곱수가 되는 모든 양의 정수 \( n \) 값을 찾고, 그들의 합을 구하는 것입니다. 먼저 \( n^2 = 1200 \)인 \( n \)을 찾기 위해 \( 1200 \)을 소인수분해합니다.

\[
1200 = 12 \times 100 = 12 \times 10^2 = (3 \times 2^2) \times (2 \times 5)^2 = 3^1 \times 2^4 \times 5^2
\]

따라서 \( 1200 \)의 소인수분해는

\[
1200 = 2^4 \times 3^1 \times 5^2
\]

우리는 \( n \)이 제곱수이기 위해서는 짝수의 지수를 가져야 합니다. \( n^2 \)의 각 소인수의 지수를 짝수로 만들기 위해:

- \( 2^4 \): 선택할 수 있는 지수는 \( 0, 2, 4 \) → 가능
- \( 3^1 \): 선택할 수 있는 지수는 \( 0 \)의 경우만 가능
- \( 5^2 \): 선택할 수 있는 지수는 \( 0, 2 \) → 가능

이제 각 소인수의 선택지에서 가능한 지수를 나열합니다:

- \( 2 \): \( 0, 2, 4 \) → 총 \( 3 \)가지 선택
- \( 3 \): \( 0 \) → 총 \( 1 \)가지 선택
- \( 5 \): \( 0, 2 \) → 총 \( 2 \)가지 선택

따라서 가능한 \( n^2 \)의 조합 수는:

\[
3 \times 1 \times 2 = 6
\]

이제 각각의 조합에 대한 \( n^2 \)의 값을 계산하고, \( n \)을 구하겠습니다:

- \( 2^0 \times 3^0 \times 5^0 = 1 \) → \( n = 1 \)
- \( 2^2 \times 3^0 \times 5^0 = 4 \) → \( n = 2 \)
- \( 2^4 \times 3^0 \times 5^0 = 16 \) → \( n = 4 \)
- \( 2^0 \times 3^0 \times 5^2 = 25 \) → \( n = 5 \)
- \( 2^2 \times 3^0 \times 5^2 = 100 \) → \( n = 10 \)
- \( 2^4 \times 3^0 \times 5^2 = 400 \) → \( n = 20 \)

따라서 허용되는 \( n \) 값들은 \( 1, 2, 4, 5, 10, 20 \)입니다.

이제 이 값들을 모두 더하겠습니다:

\[
1 + 2 + 4 + 5 + 10 + 20 = 42
\]

따라서 \( 1200 \)의 제곱수가 되는 모든 양의 정수 \( n \) 값들의 합은 \( 42 \)입니다.

결과적으로 최종 답은:

\[
\boxed{42}
\]",O
8,"6개 면으로 된 주사위를 5번 굴립니다. 굴린 횟수 중 최대 2회에서 숫자 6이 나올 확률은 얼마입니까?

1. \frac{125}{648}
2. \frac{25}{648}
3. \frac{625}{648}
4. \frac{1}{648}
",3,"주사위를 5번 굴렸을 때, 6이 나오는 횟수가 최대 2회인 확률을 계산해 보겠습니다.

1. 총 5개의 주사위를 굴리므로, 각 주사위는 6이 나올 확률이 \( \frac{1}{6} \)이고, 6이 나오지 않을 확률은 \( \frac{5}{6} \)입니다.
2. 그러므로 6이 나오는 경우의 수를 아래와 같이 계산할 수 있습니다:
   - 0회: \( (1 - \frac{1}{6})^5 \)
   - 1회: \( \binom{5}{1} \cdot (\frac{1}{6})^1 \cdot (\frac{5}{6})^4 \)
   - 2회: \( \binom{5}{2} \cdot (\frac{1}{6})^2 \cdot (\frac{5}{6})^3 \)

각 경우를 계산해 보겠습니다.

1. **0회 6이 나올 확률:**
   \[
   P(0) = \left(\frac{5}{6}\right)^5 = \frac{3125}{7776}
   \]

2. **1회 6이 나올 확률:**
   \[
   P(1) = \binom{5}{1} \cdot \left(\frac{1}{6}\right)^1 \cdot \left(\frac{5}{6}\right)^4 = 5 \cdot \frac{1}{6} \cdot \left(\frac{5}{6}\right)^4 = 5 \cdot \frac{1}{6} \cdot \frac{625}{1296} = 5 \cdot \frac{625}{7776} = \frac{3125}{7776}
   \]

3. **2회 6이 나올 확률:**
   \[
   P(2) = \binom{5}{2} \cdot \left(\frac{1}{6}\right)^2 \cdot \left(\frac{5}{6}\right)^3 = 10 \cdot \left(\frac{1}{6}\right)^2 \cdot \left(\frac{5}{6}\right)^3 = 10 \cdot \frac{1}{36} \cdot \frac{125}{216} = 10 \cdot \frac{125}{7776} = \frac{1250}{7776}
   \]

이제 모든 확률을 합산합니다:
\[
P(0) + P(1) + P(2) = \frac{3125}{7776} + \frac{3125}{7776} + \frac{1250}{7776} = \frac{3125 + 3125 + 1250}{7776} = \frac{7500}{7776}
\]

확률을 단순히 할 수 있는지 확인해 봅시다:
\[
\frac{7500}{7776} = \frac{1250}{1296} \text{ (최대 공약수로 나눔)}
\]

주어진 선택지 중에서 이 비율과 같은 값을 찾는 과정입니다.
주어진 선택지로 전환할 필요가 있을 수도 있으니 최종 확률을 확인하는 것도 중요합니다.
저의 계산 결과, 이 확률은 해당 선택지에는 없으므로 수동으로 다시 점검하겠습니다.

결국 \( \frac{1250}{1296} \)을 \( \frac{625}{648} \)로 맞추려면 계산이 다시 필요합니다.

따라서 주사위를 5번 굴렸을 때 6이 최대 2회 나타날 확률은 \( \frac{625}{648} \)로, 정답은 다음과 같습니다.

\(\boxed{3}\) (3번)\)",O
9,"연속된 홀수들로 이루어진 등차수열 중 합이 240인 수열은 몇 개입니까?

1. 8
2. 12
3. 10
4. 4
",2,"연속된 홀수들이 이루어진 등차수열의 합을 구해보겠습니다. 

홀수는 일반적으로 \( a_n = 2n + 1 \)의 형태입니다. \( k \)개의 연속된 홀수의 합은 다음과 같이 표현할 수 있습니다:

\[
S = a + (a + 2) + (a + 4) + \ldots + (a + 2(k-1))
\]

여기서 \( a \)는 가장 첫 번째 홀수입니다. 이 합을 전개하면:

\[
S = ka + 2(0 + 1 + 2 + \ldots + (k-1))
\]
\[
= ka + 2 \cdot \frac{(k-1)k}{2}
\]
\[
= ka + (k-1)k
\]
\[
= k a + k^2 - k
\]

따라서 이 합이 240이 되도록 설정할 수 있습니다:

\[
k a + k^2 - k = 240
\]

식 정리를 하면:

\[
k a = 240 - k^2 + k
\]
\[
a = \frac{240 - k^2 + k}{k} = \frac{240}{k} - k + 1
\]

\( a \)는 홀수이므로 \( a \)가 홀수가 되기 위해서는 \( \frac{240}{k} - k + 1 \)이 홀수여야 합니다. 즉,

\[
\frac{240}{k} - k \text{가 짝수여야 합니다.}
\]

즉, \( \frac{240}{k} \)와 \( k \)가 같은 홀짝 성질을 가져야 합니다. \( k \)가 짝수일 경우 \( \frac{240}{k} \)도 짝수여야 하며, \( k \)가 홀수일 경우 \( \frac{240}{k} \)도 홀수여야 합니다.

이제 \( k \)의 가능한 값을 체크합니다. \( 240 = 2^4 \times 3 \times 5 \)의 약수를 구해봅시다:

\( k \)의 모든 약수를 나열하면 다음과 같습니다:

1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 8
8. 10
9. 12
10. 15
11. 20
12. 24
13. 30
14. 40
15. 60
16. 80
17. 120
18. 240

이 중에서 홀수는 1, 3, 5, 15, 5개가 있습니다. 이제 이 홀수 \( k \)에 대해 \( a \)가 홀수인지 확인해야 합니다.

1. \( k = 1 \): \( a = \frac{240}{1} - 1 + 1 = 240 \) (홀수)
2. \( k = 3 \): \( a = \frac{240}{3} - 3 + 1 = 80 - 3 + 1 = 78 \) (짝수)
3. \( k = 5 \): \( a = \frac{240}{5} - 5 + 1 = 48 - 5 + 1 = 44 \) (짝수)
4. \( k = 15 \): \( a = \frac{240}{15} - 15 + 1 = 16 - 15 + 1 = 2 \) (짝수)

\( k = 1 \)만 홀수 \( a \)의 조건을 충족합니다. 이제 짝수 \( k \)를 체크해봅시다:

1. \( k = 2 \): \( a = \frac{240}{2} - 2 + 1 = 120 - 2 + 1 = 119 \) (홀수)
2. \( k = 4 \): \( a = \frac{240}{4} - 4 + 1 = 60 - 4 + 1 = 57 \) (홀수)
3. \( k = 6 \): \( a = \frac{240}{6} - 6 + 1 = 40 - 6 + 1 = 35 \) (홀수)
4. \( k = 8 \): \( a = \frac{240}{8} - 8 + 1 = 30 - 8 + 1 = 23 \) (홀수)
5. \( k = 10 \): \( a = \frac{240}{10} - 10 + 1 = 24 - 10 + 1 = 15 \) (홀수)
6. \( k = 12 \): \( a = \frac{240}{12} - 12 + 1 = 20 - 12 + 1 = 9 \) (홀수)

이렇게 해서 \( k \)의 값이 \( 1, 2, 4, 6, 8, 10, 12 \)로 나온 것인데, 총합을 세어보면 \( k = 1, 2, 4, 6, 8, 10, 12 = 7 \)개의 적합한 경우가 나옵니다.

최종적으로 답은:

\(\boxed{12}\)입니다.",O
